iter	MultiClass
0	1.264092519
1	1.16950177
2	1.08719085
3	1.01931544
4	0.9614738788
5	0.9110902539
6	0.8665709756
7	0.8278866019
8	0.7931776963
9	0.7623931236
10	0.7348340646
11	0.7097518956
12	0.6871144967
13	0.6672197664
14	0.6493772096
15	0.6330735971616	0.6174045023
17	0.603941629
18	0.5905610466
19	0.5792526669
20	0.5678523233
21	0.5576951262
22	0.5480728786
23	0.5390169999
24	0.5310040656
25	0.5236325743
26	0.5174345259
7	0.6204586974
28	0.6123056218
29	0.604062193
30	0.5963296934
31	0.5890540913
32	0.5816812727
33	0.5753337923
34	0.5690132234
35	0.563185921
36	0.5571108371
37	0.55172724
38	0.5462342237
39	0.540931337
40	0.5357550496
41	0.5311615165
42	0.5265633957
43	0.5225565174
44	0.518523368
45	0.5141935657
46	0.5099241051
47	0.5061007327
48	0.5026332936
49	0.4990505899
50	0.4957255782
51	0.492763271
52	0.488988179
53	0.4862350815
54	0.4834987638
55	0.4800370965
56	0.4770587227
57	0.4750011374
58	0.4729708478
59	0.4705192996
60	0.46830038
61	0.4660488003
62	0.4635612875
63	0.4613155076
64	0.459064417
65	0.4571244846
66	0.45512229
67	0.4529553126
68	0.4510739571
69	0.4494066214
70	0.4476406559
71	0.4451306803
72	0.4428476994
73	0.4410676741
74	0.4393697366
