iter	Passed	Remaining
0	130	51884
1	401	79956
2	651	86235
3	844	83599
4	1059	83694
5	1231	80880
6	1404	78849
7	1568	76875
8	1704	74030
9	1833	71492
10	1962	69414
11	2093	67688
12	2223	66181
13	2348	64740
14	2482	63715	15	2776	66616	16	2969	66906
17	3281	69637
18	3414	68476
19	3542	67306
20	3678	66393
21	3835	65894
22	3963	64974
23	4078	63890
24	4166	62490
25	4410	63441
26	4589	63406
4486	91646
28	4839	95284
29	4917	93436
30	5005	91881
31	5100	90531
32	5200	89354
33	5280	87901
34	5457	88106
35	5666	88768
36	5800	88254
37	5894	87170
38	5984	86077
39	6075	85062
40	6166	84073
41	6282	83470
42	6377	82607
43	6488	81995
44	6593	81322
45	6705	80752
46	6797	79976
47	6899	79341
48	6996	78669
49	7092	78012
50	7203	77543
51	7276	76686
52	7353	75888
53	7446	75290
54	7528	74596
55	7623	74055
56	7721	73558
57	7805	72942
58	7873	72197
59	7972	71748
60	8062	71240
61	8156	70780
62	8232	70175
63	8331	69778
64	8413	69251
65	8492	68714
66	8567	68153
67	8646	67644
68	8732	67203
69	8798	66616
70	8881	66175
71	8969	65775
72	9057	65386
73	9133	64921
74	9221	64552
